stdAR,stdFA,MV1,MV2,stdMV1,stdMV2,stdC1,stdC2,stdO,ER,stdHB,Results
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
0,0,0,0,0,0,0,0,0,0,0,NO
